"id","movie_id","quote_text","created_at"
901703,15920,"Bear Claw Chris Lapp: Can you skin Griz, pilgrim?Jeremiah Johnson: I can skin most anything.Bear Claw Chris Lapp: You sure are cocky for a starvin' pilgrim.Bear Claw Chris Lapp: Well there she be.  Go inside get yourself warm, get yourself something to eat. I've got a chore to finish. Now boy, are you sure that you can skin Griz?Jeremiah Johnson: I can skin'em as fast as you can catch'em.[Bear Claw runs through the cabin with a huge Grizzly Bear close behind and jumps out the back window.]Bear Claw Chris Lapp: Skin that pilgrim, and I'll get you another!",2025-04-25 20:16:56.754
901704,15920,[Jeremiah has just killed a Crow warrior who has been stalking him]Del Gue: Is it always like this? One at the time?Jeremiah Johnson: Yep.Del Gue: Lucky they were Crow. Apache would have sent fifty at once.,2025-04-25 20:16:56.754
901705,15920,"[Jeremiah is being forced by the Flathead chief to marry an Indian girl]Jeremiah Johnson: Del Gue, I don't think this is a good idea.Del Gue: He may be a Christian and read the bible, but he's still an Indian and his rules is his rules. If you value your hair, you will get married! Now, when this is over you can take her to Fort Hawley and sell her, but you best take her my friend. Besides, maybe she ain't near bad.[after Jeremiah is introduced to The Swan by Two Tongues Lebeaux] Maybe you need her?Del Gue: You turn this down, and they'll slit you, me, Caleb and the horses from crotch to eyeball with a dull deer antler.",2025-04-25 20:16:56.754
901706,15920,"Jeremiah Johnson: [Jeremiah and Caleb see a bird flying across the sky] Hawk. Goin' for the Musselshell. Take me a week's ridin', and he'll be there in... hell, he's there already.",2025-04-25 20:16:56.754
901707,15920,"Del Gue: [to Jeremiah at first meeting, when Del was buried up to his neck in sand]  No one's passed in front of me, can't say what's happened behind me.",2025-04-25 20:16:56.754
901708,15920,Del Gue: There's a fine horse under me.,2025-04-25 20:16:56.754
901709,15920,Del Gue: Ain't that Hatchet Jack's rifle?,2025-04-25 20:16:56.754
901710,15920,Del Gue: [to Jeremiah after slipping fresh scalps onto his pack horse in face of approaching Indians] I didn't know they was gonna be Flatheads.,2025-04-25 20:16:56.754
901711,15920,"Del Gue: [to Jeremiah] You turn down this gift, and they'll slit you, me, Caleb and the horses from crotch to eyeball with a dull deer antler!",2025-04-25 20:16:56.754
901712,15920,"Del Gue: He may be a Christian and speak of the bible, but he still an Indian, and his rules is his rules.  If you value your hair, you will get married!",2025-04-25 20:16:56.754
901713,15920,"Del Gue: [to Jeremiah at his wedding] You can take her to Fort Hauley and sell her, but you best take her my friend.  Maybe she ain't near bad.",2025-04-25 20:16:56.754
901714,15920,Del Gue: [to Jeremiah amidst his ongoing fight with the Crows] I cannot brag on your choice of campsites.,2025-04-25 20:16:56.754
901715,15920,"Hatchet Jack: [note on Hatchet Jack] I, Hatchet Jack, being of sound mind and broke legs, do hereby leaveth my bear rifle to whatever finds it, Lord hope it be a white man. It is a good rifle, and killt the bear that killt me. Anyway, I am dead.  Yours truly, Hatchet Jack.",2025-04-25 20:16:56.754
901716,15920,"Narrator: His name was Jeremiah Johnson, and they say he wanted to be a mountain man. The story goes that he was a man of proper wit and adventurous spirit, suited to the mountains. Nobody knows where abouts he come from and don't seem to matter much. He was a young man and ghosty stories about the tall hills didn't scare him none. He was looking for a Hawken gun, .50 caliber or better. He settled for a .30, but damn, it was a genuine Hawken, and you couldn't go no better. Bought him a good horse, and traps, and other truck that went with being a mountain man, and said good-bye to whatever life was down there below.",2025-04-25 20:16:56.754
901717,15920,It'll have to do,2025-04-25 20:16:56.754
901718,15920,Jeremiah: It ought to been different.Bear Claw: Is that so? Many a child journeys up this high to be different.,2025-04-25 20:16:56.754
901719,15920,I don’t know why those folks down in the valley are eating pork belly when they could be up here feeding on elk.,2025-04-25 20:16:56.754
901720,15921,Kurdy: There's never been a movement that ran on hate alone that didn't run out of steam.,2025-04-25 20:16:56.754
901721,15921,"Liberty 'Libby' Kaufman: Why are you winding a watch that doesn't work?Mister Smith: 'Cause someday the world's gonna change and it'll start ticking again. I'd like to have it ready for when that day comes.Liberty 'Libby' Kaufman: You're such a strange man. There's so much going on inside you, you know? Like a pool of water, so still on top but if you dropped in a rock, it'll keep going on forever, never hit bottom.",2025-04-25 20:16:56.754
901722,15921,"Kurdy: So, how's it going with the rest of the founding fathers?Erin: Ugly. I just don't think they're taking this seriously.Kurdy: Well, should they?Markus Alexander: Shouldn't they?Kurdy: Think about it. Everyone in there got to where they are by fighting everybody else. Now, they have pushed and pulled and bit and scratched their way into running a town. Then a couple towns and then more. And every step of the way they've had somebody trying to con 'em or take it all away. Now, you think guys like this are gonna bend over just 'cause we ask 'em to?Erin: I know, it's just, it's just that they...Kurdy: They want to believe. They do. You can see it in their eyes. For sixteen years, they fought to build something and they don't want it to end when they die. They want to believe in all of this. Just like I did when I got here. But in the outside world, it's hard to trust anybody.",2025-04-25 20:16:56.754
901723,15921,"Mister Smith: I read a book once. It said that we'd reached the end of history. That everything big or important that was gonna happen had already happened. If that's true, maybe the years since the Big Death was like the world resetting itself. Now history's starting all over again. I think that's maybe why my watch started up again. There's a word in Latin for it. I heard it once a long time ago. For the time between when a king dies and the new king takes over. Inter-something-or-other.Kurdy: Interregnum.Mister Smith: That's the one. Maybe that's what the last sixteen years have been. An interregnum.",2025-04-25 20:16:56.754
901724,15921,"Jeremiah: [voiceover] When I was a kid, I remember my dad saying that one man can change the world. At the time he said it, I believed him. Then the years after the Big Death, somewhere along the way, I just stopped believing.Kurdy: [voiceover] If one guy with a bullet could change the world in the school depository in Dallas or in a hotel in Los Angeles or Memphis, how much more could one person with an idea, the right idea, change the world?Mister Smith: [voiceover] Today, this day, the world would change forever. Not because of the clash of armies, not in the currency of bomb blasts or body counts, but through the proper application of the only force that matters. The only power that even God respects. The truth.",2025-04-25 20:16:56.754
901802,15933,"[from the trailer]Jerrica Benton:  This is us?Erica Raymond:  No, it's Photoshop.",2025-04-25 20:16:56.754
901803,15933,"Jerrica Benton: [from the trailer]  I, Jerrica Benton, am living the most unexceptional life.  My sister Kimber and I live with our Aunt Bailey and her two foster kids.  At some point, we all wish we could just become someone else.",2025-04-25 20:16:56.754
901804,15933,Jerrica Benton: [from the trailer]  Everyone has a secret identity.  Which one's the real you?,2025-04-25 20:16:56.754
901725,15921,"Kurdy: [looks around the pilgrims' camp] It's kind of nice.Jeremiah: Yeah, it's nice. This kind of nice makes me worry. It usually means somebody wants something from ya. Trust me. I've been hustled before by guys like this.Kurdy: You know, Jeremiah, my mom used to say there are two kinds of people - those who kiss and those who offer the cheek.Jeremiah: I don't get it.Kurdy: Look...Jeremiah: I mean, you know, nothing against your mom. It's just I, uh, I don't get that.Kurdy: Oh, forget it. She also said there are two types of kids. See, you give a kid a big, old box full of crap, and some kids are gonna see only the crap because that's what they're used to seeing, so they walk away. But the other type of kid sees that crap, dives in and starts digging like crazy 'cause he figures if theres that much crap, there's got be a pony in there somewhere. [smiles]Jeremiah: So your mom said ""crap"".",2025-04-25 20:16:56.754
901726,15921,Constance: The Great Death was not the off switch. It was the reset button. This is not about endings. This is about beginnings.,2025-04-25 20:16:56.754
901727,15921,"David: So you don't believe in God?Jeremiah: Let's just say we had a little falling out. I don't bother him, he doesn't bother me. Works fine for both of us.David: Yes, I can tell. Look, if you're thinking that I'm going try to convert you to anything, I'm not. Anybody here can believe or not believe anything they want. You just have to believe in something, even if it's just the hope that tomorrow will be better than the day before. You don't even have to believe in God, but to go to war with God, from what I've heard, that never ends well for anyone.",2025-04-25 20:16:56.754
901728,15921,"Constance: [stopping Kurdy, who is about to confront strangers who punched David, the pilgrims' leader] No. In order to stay, we've all taken a vow of non-violence.Kurdy: You're kidding.Constance: David doesn't believe in violence.Kurdy: Oh yeah? well, what about when violence believes in him?Constance: He prays... a lot.",2025-04-25 20:16:56.754
901729,15921,"Jeremiah: It's nothing personal. It's just...David: You don't trust me.Jeremiah: I don't trust you.David: How is that not personal?Jeremiah: Every time someone drags God into the conversation, it's because they want something. It's a con, it's a hustle, or worse. So excuse me if I look at all you've got going on here, and I wonder what it is that you're really up to.David: You know, a few centuries ago, people went on pilgrimages all the time to testify to their belief, to encourage hope, to receive absolution. They expected miracles, and they got them.Jeremiah: I believe in miracles a lot less than I believe in whatever it is that you're selling.David: [chuckles] Why? It's a new world. The rules have changed. Technologically, we've been plunged back into the middle ages. Right? Maybe, that's the only place where miracles are possible. Maybe, God stopped appearing because He got tired of all the noise. Maybe he only appears when the world is quiet enough to pay attention. Either way, I know we will find our miracle at the end of our journey. Tell me something. Do you believe that there's hope for a better world, Jeremiah?Jeremiah: Yeah. Yeah, I do.David: Well then, like it or not, you and me and God - we're all on the same side.",2025-04-25 20:16:56.754
